Map Name,W(1/100),H(1/100),Cap/Gen,Capacity,SP,Avg.LV,Avg.HP,Avg.Exp,Avg.Exp/Gen,Monsters,Limit Portal,Teleport Limit
Burning Cernium : Burning Royal Library Section 2,24,8,33,33,34,264,4004962000,1828409,60337497,{'Ebonstar Bombardier': '34'},0,0
Burning Cernium : Burning Royal Library Section 4,24,9,33,33,34,264,4004962000,1828409,60337497,{'Ebonstar Magician': '34'},0,0
Burning Cernium : Burning Royal Library Section 5,24,9,33,33,34,264,4004962000,1828409,60337497,{'Ebonstar Magician': '34'},0,0
Limina : End of the World 2-8,18,13,32,39,33,264,1355525600,865496,27695872,{'Powerful Embrion': '33'},0,0
Limina : End of the World 2-6,18,10,32,32,33,264,677762800,721247,23079904,{'Embrion': '33'},0,0
Limina : End of the World 2-5,18,12,32,32,33,264,677762800,721247,23079904,{'Embrion': '33'},0,0
Limina : End of the World 2-7,27,8,32,32,33,264,677762800,721247,23079904,{'Embrion': '33'},0,0
Burning Cernium : Eastern City Ramparts in Battle 3,30,10,38,38,39,263,3937401000,1800203,68407714,{'Flora Assassin': '39'},0,0
Burning Cernium : Eastern City Ramparts in Battle 6,29,11,37,37,38,263,3937401000,1800203,66607511,{'Flora Heavy Infantry': '38'},0,0
Burning Cernium : Eastern City Ramparts in Battle 1,20,10,33,33,34,263,3937401000,1800203,59406699,{'Flora Assassin': '34'},0,0
Burning Cernium : Eastern City Ramparts in Battle 2,22,10,33,33,34,263,3937401000,1800203,59406699,{'Flora Assassin': '34'},0,0
Burning Cernium : Eastern City Ramparts in Battle 4,22,10,33,33,34,263,3937401000,1800203,59406699,{'Flora Heavy Infantry': '34'},0,0
Burning Cernium : Eastern City Ramparts in Battle 5,25,9,32,32,33,263,3937401000,1800203,57606496,{'Flora Heavy Infantry': '33'},0,0
Limina : End of the World 1-9,22,11,34,34,35,263,1332658800,852145,28972930,{'Powerful Foreberion': '35'},0,0
Limina : End of the World 1-8,22,10,34,34,35,263,666329400,710121,24144114,{'Foreberion': '35'},0,0
Limina : End of the World 1-6,22,13,34,34,35,263,666329400,710121,24144114,{'Foreberion': '35'},0,0
Limina : End of the World 2-4,18,11,32,32,33,263,673258733,716864,22939648,"{'Embrion': '20', 'Foreberion': '13'}",0,0
Limina : End of the World 2-3,18,10,31,31,32,263,666329400,710121,22013751,{'Foreberion': '32'},0,0
Limina : End of the World 1-7,22,8,31,31,32,263,666329400,710121,22013751,{'Foreberion': '32'},0,0
Burning Cernium : Western City Ramparts in Battle 4,30,10,37,37,38,262,3873233000,1775159,65680883,{'Flora Magician': '38'},0,0
Burning Cernium : Western City Ramparts in Battle 3,30,11,37,37,38,262,3873233000,1775159,65680883,{'Flora Magician': '38'},0,0
Burning Cernium : Western City Ramparts in Battle 2,24,9,33,33,34,262,3873233000,1775159,58580247,{'Flora Foot Soldier': '34'},0,0
Burning Cernium : Western City Ramparts in Battle 1,24,11,33,33,34,262,3873233000,1775159,58580247,{'Flora Foot Soldier': '34'},0,0
Limina : World's Sorrow Midpoint 4,15,18,33,33,34,262,1310940400,840290,27729570,{'Powerful Ascendion': '34'},0,0
Limina : World's Sorrow Midpoint 3,15,18,33,33,34,262,655470200,700242,23107986,{'Ascendion': '34'},0,0
Limina : End of the World 1-4,22,10,31,31,32,262,655470200,700242,21707502,{'Ascendion': '32'},0,0
Limina : End of the World 1-5,22,9,30,30,31,262,661775541,705978,21179340,"{'Ascendion': '13', 'Foreberion': '18'}",0,0
Cernium : Royal Library Section 6,28,11,37,37,38,261,3806790000,1750290,64760730,{'Curious Scholar Ghost': '38'},0,0
Cernium : Cernium Eastern City Ramparts 3,29,12,37,37,38,261,3806790000,1750290,64760730,{'Fire Spirit': '38'},0,0
Cernium : Royal Library Section 3,33,11,37,37,38,261,3806790000,1750290,64760730,{'Wandering Scholar Ghost': '38'},0,0
Cernium : Royal Library Section 1,24,9,33,33,34,261,3806790000,1750290,57759570,{'Wandering Scholar Ghost': '34'},0,0
Cernium : Royal Library Section 4,24,9,33,33,34,261,3806790000,1750290,57759570,{'Curious Scholar Ghost': '34'},0,0
Cernium : Royal Library Section 5,24,10,33,33,34,261,3806790000,1750290,57759570,{'Curious Scholar Ghost': '34'},0,0
Cernium : Cernium Eastern City Ramparts 2,25,11,33,33,34,261,3806790000,1750290,57759570,{'Fire Spirit': '34'},0,0
Cernium : Royal Library Section 2,24,10,32,32,33,261,3806790000,1750290,56009280,{'Wandering Scholar Ghost': '33'},0,0
Cernium : Cernium Eastern City Ramparts 1,25,11,32,32,33,261,3806790000,1750290,56009280,{'Fire Spirit': '33'},0,0
Limina : World's Sorrow Midpoint 2,15,17,33,33,34,261,650178811,695625,22955625,"{'Ascendion': '18', 'Transcendion': '16'}",0,0
Limina : World's Sorrow Midpoint 1,15,19,33,33,35,261,644226000,690432,22784256,{'Transcendion': '35'},0,0
Limina : World's Sorrow Depths 3,37,8,33,33,34,261,644226000,690432,22784256,{'Transcendion': '34'},0,0
Cernium : Cernium Western City Ramparts 3,32,12,38,38,39,260,3743688000,1725461,65567518,{'Monster Gull': '39'},0,0
Cernium : Rocky Overlook 4,32,11,37,37,38,260,3743688000,1725461,63842057,{'Ebonstar Archer': '38'},0,0
Cernium : Rocky Overlook 3,32,12,37,37,38,260,3743688000,1725461,63842057,{'Ebonstar Archer': '38'},0,0
Cernium : Rocky Overlook 2,23,10,33,33,34,260,3743688000,1725461,56940213,{'Ebonstar Foot Soldier': '34'},0,0
Cernium : Rocky Overlook 1,23,11,33,33,34,260,3743688000,1725461,56940213,{'Ebonstar Foot Soldier': '34'},0,0
Cernium : Cernium Western City Ramparts 1,25,11,33,33,34,260,3743688000,1725461,56940213,{'Monster Gull': '34'},0,0
Cernium : Cernium Western City Ramparts 2,22,12,32,32,33,260,3743688000,1725461,55214752,{'Monster Gull': '33'},0,0
Limina : World's Sorrow Depths 2,43,8,33,33,34,260,639828847,686399,22651167,"{'Ancestion': '14', 'Transcendion': '20'}",0,0
Limina : World's Sorrow Depths 1,40,8,32,32,35,260,633547200,680638,21780416,{'Ancestion': '35'},0,0
Tenebris : Labyrinth of Suffering Deep Core 2,22,11,34,34,35,259,622956400,670940,22811960,{'Silent Watchman': '35'},0,0
Tenebris : Labyrinth of Suffering Deep Core 1,25,11,34,34,35,259,622956400,670940,22811960,"{'Silent Watchman': '15', 'Silent Assassin': '20'}",0,0
Tenebris : Labyrinth of Suffering Deep Core 3,19,14,33,33,35,259,622956400,670940,22141020,{'Despairing Soul': '35'},0,0
Tenebris : Labyrinth of Suffering Deep Core 4,20,15,33,33,35,259,622956400,670940,22141020,"{'Despairing Soul': '15', 'Despairing Prisoner': '20'}",0,0
Tenebris : Labyrinth of Suffering Deep Core 5,25,10,33,33,35,259,622956400,670940,22141020,{'Despairing Prisoner': '35'},0,0
Tenebris : Labyrinth of Suffering Deep Core 6,27,10,33,33,35,259,622956400,670940,22141020,{'Silent Assassin': '35'},0,0
Tenebris : Labyrinth of Suffering Core 4,23,12,36,36,37,258,611993800,661261,23805396,"{'Silent Knight': '13', 'Silent Scout': '12', 'Silent Rogue': '12'}",0,0
Tenebris : Labyrinth of Suffering Core 6,21,12,35,36,37,258,611993800,661261,23144135,{'Silent Scout': '37'},0,0
Tenebris : Labyrinth of Suffering Core 5,19,12,33,36,33,258,611993800,661261,21821613,{'Silent Knight': '33'},0,0
Tenebris : Labyrinth of Suffering Core 7,20,13,33,33,35,258,611993800,661261,21821613,{'Silent Rogue': '35'},0,0
Tenebris : Labyrinth of Suffering Core 3,23,12,35,36,38,257,601583400,650504,22767640,{'Despairing Blade': '38'},0,0
Tenebris : Labyrinth of Suffering Core 2,19,11,34,34,35,257,601583400,650504,22117136,"{'Despairing Wing': '15', 'Despairing Blade': '20'}",0,0
Tenebris : Labyrinth of Suffering Core 1,19,13,34,34,35,257,601583400,650504,22117136,{'Despairing Wing': '35'},0,0
Tenebris : Labyrinth of Suffering Interior 4,22,11,34,34,35,256,591261000,640971,21793014,{'Dark Miscreation': '35'},0,0
Tenebris : Labyrinth of Suffering Interior 5,22,13,33,33,35,256,591261000,640971,21152043,"{'Dark Miscreation': '18', 'Dark Construct': '17'}",0,0
Tenebris : Labyrinth of Suffering Interior 6,25,12,33,33,35,256,591261000,640971,21152043,{'Dark Construct': '35'},0,0
Tenebris : Labyrinth of Suffering Interior 3,19,11,34,34,35,255,581026600,631458,21469572,{'Faith Fragment': '35'},0,0
Tenebris : Labyrinth of Suffering Interior 2,19,12,34,34,35,255,581026600,631458,21469572,"{'Entangled Fragment': '17', 'Faith Fragment': '18'}",0,0
Tenebris : Labyrinth of Suffering Interior 1,22,11,34,34,35,255,581026600,631458,21469572,{'Entangled Fragment': '35'},0,0
Moonbridge : Void Current 2,36,12,39,39,39,254,570438000,622041,24259599,{'Burst Glare': '39'},0,0
Moonbridge : Void Current 1,27,12,34,35,35,254,570438000,622041,21149394,{'Crushing Glare': '35'},0,0
Moonbridge : Void Current 6,27,12,33,35,34,254,570438000,622041,20527353,"{'Crushing Glare': '17', 'Burst Glare': '17'}",0,0
Moonbridge : Void Current 4,27,13,33,35,33,254,570438000,622041,20527353,{'Crushing Glare': '33'},0,0
Moonbridge : Void Current 5,27,13,33,35,33,254,570438000,622041,20527353,{'Burst Glare': '33'},0,0
Moonbridge : Void Current 3,27,10,32,32,34,254,570438000,622041,19905312,"{'Crushing Glare': '18', 'Burst Glare': '16'}",0,0
Moonbridge : Mysterious Fog 5,22,13,35,35,38,253,560384000,612643,21442505,{'Soot Core': '38'},0,0
Moonbridge : Mysterious Fog 2,27,11,32,32,33,253,560384000,612643,19604576,{'Soot Core': '33'},0,0
Moonbridge : Mysterious Fog 3,27,13,37,37,37,252,555805027,608358,22509246,"{'Soot Slug': '17', 'Soot Core': '20'}",0,0
Moonbridge : Mysterious Fog 4,27,14,37,37,37,252,550418000,603318,22322766,{'Soot Slug': '37'},0,0
Moonbridge : Mysterious Fog 6,22,15,36,36,36,252,555401000,607980,21887280,"{'Soot Slug': '18', 'Soot Core': '18'}",0,0
Moonbridge : Mysterious Fog 1,27,14,35,35,35,252,550418000,603318,21116130,{'Soot Slug': '35'},0,0
Sellas : Star-Swallowing Sea 6,32,11,39,39,40,251,540540000,594040,23167560,{'Angelus': '40'},0,0
Moonbridge : Last Horizon 5,27,13,35,35,36,251,540540000,594040,20791400,{'Soot Talon': '36'},0,0
Moonbridge : Last Horizon 2,27,8,33,33,34,251,540540000,594040,19603320,{'Soot Talon': '34'},0,0
Sellas : Star-Swallowing Sea 5,21,12,31,31,32,251,540540000,594040,18415240,{'Angelus': '32'},0,0
Sellas : Star-Swallowing Sea 4,24,8,24,24,25,251,540540000,594040,14256960,{'Angelus': '25'},0,0
Moonbridge : Last Horizon 6,22,13,38,38,39,250,535268461,589068,22384584,"{'Soot Beast': '21', 'Soot Talon': '18'}",0,0
Sellas : Star-Swallowing Sea 3,28,12,38,38,39,250,530750000,584807,22222666,{'Lilli Borea': '39'},0,0
Moonbridge : Last Horizon 1,27,13,37,37,41,250,530750000,584807,21637859,{'Soot Beast': '41'},0,0
Moonbridge : Last Horizon 4,22,12,37,37,38,250,530750000,584807,21637859,{'Soot Beast': '38'},0,0
Moonbridge : Last Horizon 3,27,12,35,35,36,250,536188888,589936,20647760,"{'Soot Beast': '16', 'Soot Talon': '20'}",0,0
Sellas : Star-Swallowing Sea 2,25,11,32,32,33,250,530750000,584807,18713824,{'Lilli Borea': '33'},0,0
Sellas : Star-Swallowing Sea 1,19,8,24,24,25,250,530750000,584807,14035368,{'Lilli Borea': '25'},0,0
Esfera : Radiant Temple 4,32,12,38,39,38,249,473680000,553217,21022246,{'Dark Executor': '38'},0,0
Sellas : Plunging Depths 6,30,14,37,37,40,249,473680000,553217,20469029,{'Denebola': '40'},0,0
Sellas : Plunging Depths 5,23,12,32,32,33,249,473680000,553217,17702944,{'Denebola': '33'},0,0
Sellas : Plunging Depths 4,15,11,25,25,26,249,473680000,553217,13830425,{'Denebola': '26'},0,0
Esfera : Radiant Temple 3,32,13,39,39,41,248,469416585,548944,21408816,"{'Light Executor': '20', 'Dark Executor': '21'}",0,0
Esfera : Radiant Temple 2,32,12,38,39,38,248,464940000,544459,20689442,{'Light Executor': '38'},0,0
Sellas : Plunging Depths 3,26,12,38,38,38,248,464940000,544459,20689442,{'Hyades': '38'},0,0
Sellas : Plunging Depths 2,23,14,33,33,33,248,464940000,544459,17967147,{'Hyades': '33'},0,0
Sellas : Plunging Depths 1,20,9,25,25,26,248,464940000,544459,13611475,{'Hyades': '26'},0,0
Sellas : The Final Edge of Light 9,31,10,37,37,40,247,456280000,535749,19822713,{'Oceanleli': '40'},0,0
Esfera : Mirror-touched Sea 7,24,11,31,31,45,247,456280000,535749,16608219,{'Keeper of Darkness': '45'},0,0
Sellas : The Final Edge of Light 8,26,10,31,31,32,247,456280000,535749,16608219,{'Oceanleli': '32'},0,0
Sellas : The Final Edge of Light 7,25,9,25,25,26,247,456280000,535749,13393725,{'Oceanleli': '26'},0,0
Sellas : The Final Edge of Light 6,31,11,38,38,40,246,447700000,527106,20030028,{'Volar': '40'},0,0
Sellas : The Final Edge of Light 5,22,11,32,32,33,246,447700000,527106,16867392,{'Volar': '33'},0,0
Esfera : Mirror-touched Sea 6,24,11,29,29,39,246,451880000,531316,15408164,"{'Keeper of Light': '20', 'Keeper of Darkness': '19'}",0,0
Esfera : Mirror-touched Sea 5,24,11,28,30,44,246,447700000,527106,14758968,{'Keeper of Light': '44'},0,0
Sellas : The Final Edge of Light 4,21,9,25,25,26,246,447700000,527106,13177650,{'Volar': '26'},0,0
Sellas : The Final Edge of Light 3,33,11,37,37,39,245,439566000,518511,19184907,{'Veritate': '39'},0,0
Sellas : The Final Edge of Light 2,22,11,32,32,33,245,439566000,518511,16592352,{'Veritate': '33'},0,0
Esfera : Mirror-touched Sea 4,24,10,26,26,35,245,439566000,518511,13481286,{'Aranea': '35'},0,0
Sellas : The Final Edge of Light 1,23,9,25,26,25,245,439566000,518511,12962775,{'Veritate': '25'},0,0
Morass : That Day in Trueffet 4,43,19,30,33,32,244,436670250,515572,15467160,"{'Thralled Wizard': '11', 'Thralled Archer': '21'}",0,0
Esfera : Mirror-touched Sea 3,24,10,23,23,33,244,435226363,514108,11824484,"{'Aranya': '17', 'Aranea': '16'}",0,0
Esfera : Mirror-touched Sea 2,24,10,23,23,27,244,431142000,509964,11729172,{'Aranya': '27'},0,0
Esfera : Living Spring 7,35,12,39,39,40,243,422798000,501461,19556979,{'Bellalis': '40'},0,0
Morass : That Day in Trueffet 3,42,20,35,35,37,243,426631729,505367,17687845,"{'Thralled Warhammer Knight': '20', 'Thralled Wizard': '17'}",0,0
Esfera : Living Spring 5,35,11,38,38,38,242,414534000,494006,18772228,{'Bellalion': '38'},0,0
Esfera : Living Spring 6,35,11,36,36,38,242,418883473,497929,17925444,"{'Bellalion': '18', 'Bellalis': '20'}",0,0
Morass : That Day in Trueffet 2,42,11,27,39,28,242,417780571,496934,13417218,"{'Thralled Guard': '17', 'Thralled Warhammer Knight': '11'}",0,0
